StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Age,Gender,Occupation,Occupation_4_TEXT,Locations,Q105,Q98,Mental Health/Cond,Mental Health/Cond_1_TEXT,MentalHealthSeverity,Q86,Q103,Stages of Change Model,Journaling Duration,Journaling Habits,Q36,Q37,Q38,Journaling Habits.1,Journaling Habits_5_TEXT,Q41,Note-taking habits,Note-taking habits_9_TEXT,Q39,Importance_journal,Importance_journal_10_TEXT,Q42,Q43,Q43_9_TEXT,Q44,Q44_9_TEXT,Q45,Q46,Q61,Q61_10_TEXT,Q62_1,Q62_2,Q62_3,Q63,Q63_13_TEXT,Q64,Q65,Q66,Q67,Q47,Q123,Q48,Q48_9_TEXT,Q23,Q23_17_TEXT,Q68,Q116,Q118,Q119,Q120,Q121,Q122,Q69,Q69_10_TEXT,Q70,Q70_18_TEXT,Q90,Q71,Q72,Q73,Q74,Q49,Q51,Q95,Q99,Depth of involvment,Q100,Q100_7_TEXT,Q101_1,Q101_2,Q101_3,Q101_4,Q101_5,Q53,Q54,Q113_1,Q113_2,Q113_3,AI assistance type,AI assistance type_9_TEXT,AI assistance type_1,AI assistance type_2,Q58,Q102,Q59,Q60,Q29,Q76,Q77,Q77_9_TEXT,Character Dev,Character Dev_20_TEXT,Q80,Q91,Q81,Q92,Q93,Region,Journaling_Consistency_Level,AI_Comfort_Level
2025-04-21 10:41:09,2025-04-21 11:14:44,100,2015,TRUE,2025-04-21 11:14:45,R_1BsA6LgCD57ZI9p,18-24,Female,Student (full-time or part-time),,"Cambridge, MA",nan,2,No,,,An activity to reflect back on and to understand myself better.,I'm thinking about starting but haven't yet,Contemplation,1 month to 6 Months,A few times a month,,,,"Standard digital app or document (e.g., Google Docs, Notes)",,,"I use a notes app on my phone,I take photos to help me remember,I use reminders, calendars, or to-do list apps",,2.0,"During or after an emotional experience or crisis,When a significant life event occurs (e.g., graduation, breakup, promotion)",,I do not usually reflect on past experiences when journaling,,,"Finding time,Doubting its value (e.g., feeling like I won’t grow from it, or that I won't be doing it “right”,7",,1.0,"I want to feel like I'm continuously doing self-development so I would remind myself to journal, but then I give up if I start missing few days. ","To organize my thoughts or clear my mind,To express emotions or relieve stress,To set goals or track progress,To reflect on personal growth",,,,,"Structured templates (mood tracker, gratitude list),Narrative timeline (events described as a flowing story),Mind map/branching thoughts,Voice-to-text journaling",,A mix depending on my mood,1.0,-2.0,-1.0,Extremely uncomfortable/I don't use AI,,"Spelling/Grammar/Writing help,Problem Solving/Homework help,Idea generation,Emotional support,General advice",," Spelling/grammar help,Emotion/mood tracking,Showing relevant past entries during writing,Providing insights or recurring patterns from your entries,Goal/habit tracking and nudging,Daily personalized positive affirmations or famous quotes,Real-time writing suggestions (expand, clarify)",,-1.0,,,,,,,"I’m comfortable with AI analyzing all my content, if secure",,"Privacy (e.g., strict privacy policy),4,6,9",,Apologize and let me decide whether to update it,1.0,I prefer occasional reminders that I am interacting with AI,2.0,Some – I’m willing to consider AI perspectives alongside my own,2.0,-1.0,1.0,Strongly prefer adaptive guidance,"Only suggest ideas when I ask,Analyze my entries and suggest improvements,Actively coach me toward personal goals","Ask how you’re feeling first, then offer guidance based on your response",,No preference,Mostly guidance,Some guidance,No preference,No preference,"I want the final say on what gets recorded, but I'm open to AI suggestions",1.0,,,,"Objective advice and strategies,Insightful questions for deeper reflection,A combination depending on my needs at the moment",,Very helpful,Moderately Helpful,2.0,2.0,2.0,Set your own goals,1.0,1.0,"Reminder & notification ,Daily streak tracking or rewards,Encouraging feedback once journaling is completed,Setting a dedicated journaling time",,"4,5,8,10",,"Feedback while writing journal,Monthly insight/summary",Deeper reflective questions,"Journaling will be meaningful as it will help understand myself better. If AI writes for me, then it will hurt the meaning",,the last open-ended question seemed to be repetitive. ,Northeast,High,Comfortable
2025-04-29 22:53:23,2025-04-29 23:08:15,100,891,TRUE,2025-04-29 23:08:15,R_54eKhWrGdUqb8vi,35-44,Male,Employed part-time,,"Puyallup, Washington",ISTP,1,Yes (optional: explain in textbox),"Anxiety, Depression",moderate,"A form of meditation, an induced intense sense of self-awareness for the purposes of atonement or self improvement",I've never journaled and don't plan to start,Precontemplation,Never,,No,,2,,,,,,,,,,Other (please specify),I don't have past journal entries,,,,,Other (please specify),I don't journal,1.0,1.0,1.0,"Bullet journaling style (lists, tasks),Structured templates (mood tracker, gratitude list),Visual/Emoji journaling,Other (please specify)",I don't journal,Light reflective prompts,1.0,0.0,1.0,Somewhat Comfortable,Once a day,"Problem Solving/Homework help,Image generation,Emotional support,General advice",,"Providing insights or recurring patterns from your entries,Daily writing prompt suggestions",,-2.0,1.0,1.0,1.0,-1.0,0.0,Somewhat Agree,"Sensitive identifying information (e.g., names, addresses, workplaces)",,"Privacy (e.g., strict privacy policy),Reputation (e.g., strong reviews or credible endorsements),Open-source or verifiable technology",,Apologize and let me decide whether to update it,1.0,I strongly prefer not to be reminded,-1.0,Some – I’m willing to consider AI perspectives alongside my own,1.0,-1.0,0.0,Somewhat prefer adaptive guidance,Gently suggest prompts to guide me,"Ask how you’re feeling first, then offer guidance based on your response",,Mostly freedom,Mostly freedom,No preference,Some guidance,No preference,"I want the final say on what gets recorded, but I'm open to AI suggestions",0.0,0.0,-1.0,2.0,"Objective advice and strategies,Insightful questions for deeper reflection,A combination depending on my needs at the moment",,Moderately Helpful,Extremely helpful,0.0,0.0,2.0,Set your own goals,1.0,-1.0,"Reminder & notification ,Daily streak tracking or rewards",,"Managing emotions and reducing stress,Strengthening resilience and adaptability in challenging situations,Clarifying my sense of purpose and motivation,Becoming more present and mindful in daily life,Reflecting on my values and making thoughtful decisions",,Only when I ask for it,Depends on my mood,"I don't journal but I think it may be a nice tool to vent, and could be helpful to have an AI guide me. I have never been too great at writing a ton of text, so AI prompts to guide my writing could give me the direction I need to elaborate on my feelings.","Clarifying facets of my personality or emotions through self reflection.  It doesn't have to be a huge revelation, just something personally meaningful to you that you never thought of before but was an aspect of yourself all along.  AI prompts might help guide you to discover one ","The survey starts with options to check whether you journal or not, but acts like you have journaling preferences and experience regardless of what you clicked.  I don't even know if I am the right audience for this survey or if I should have been screened out but I clicked the options that made sense to me",Midwest,Unknown,Comfortable
2025-04-29 22:55:54,2025-04-29 23:16:26,100,1232,TRUE,2025-04-29 23:16:27,R_3L6bjeqLJpiqedv,45-54,Female,Employed full-time,,"Altus, OK",INFJ,1,Yes (optional: explain in textbox),PTSD,none/mild,"the ability to log your thought, feelings or actions, then reframe your understanding of your choices",I journal regularly and want to improve or sustain it,Maintenance,2 to 5 years,Several times a week,,,,"Pen and paper,Standard digital app or document (e.g., Google Docs, Notes),Dedicated journaling app (without AI)",,,"I rely on memory/don’t take notes,I write things down on paper, when available,I use a notes app on my phone,I take photos to help me remember,I use reminders, calendars, or to-do list apps",,1.0,"When I have free time,During or after an emotional experience or crisis,When I feel inspired or creative",,Within the past month,"Revisit memories and past experiences,Identify recurring patterns in behavior or thoughts (e.g., events that repeatedly cause distress),Gain a fresh perspective on past emotions and situations,Reflect on personal growth over time,Revisit past ideas or notes for creative inspiration,Better understand my strengths and weaknesses",,"Knowing what to write,Privacy concerns,Doubting its value (e.g., feeling like I won’t grow from it, or that I won't be doing it “right”",,1.0,"sometimes the emotions or events are too raw, and I lack focus, or clarity. ","To record daily events and memories,To organize my thoughts or clear my mind,To express emotions or relieve stress,To set goals or track progress,To brainstorm ideas or spark creativity",,-2.0,1.0,1.0,"Free-form writing,Structured templates (mood tracker, gratitude list),Narrative timeline (events described as a flowing story),Mind map/branching thoughts,Voice-to-text journaling,Mood-based layouts",,A mix depending on my mood,1.0,1.0,2.0,Extremely comfortable,A few times a week,"Problem Solving/Homework help,Image generation,General advice,Other (please specify)",subject summaries," Spelling/grammar help,Showing relevant past entries during writing,Providing insights or recurring patterns from your entries,Real-time writing suggestions (expand, clarify)",,-2.0,2.0,2.0,1.0,1.0,2.0,Somewhat Agree,"I’m comfortable with AI analyzing all my content, if secure",,"Privacy (e.g., strict privacy policy),Transparency (e.g., clear references or citations for AI-generated suggestions or insights),Open-source or verifiable technology",, Allow me to easily correct the AI,0.0,I prefer not to be reminded that I’m interacting with AI,1.0,Some – I’m willing to consider AI perspectives alongside my own,2.0,1.0,-1.0,Somewhat prefer adaptive guidance,"Gently suggest prompts to guide me,Generate journal entries based on my chats with AI,Analyze my entries and suggest improvements","Ask how you’re feeling first, then offer guidance based on your response",,Some guidance,Some guidance,No preference,Some guidance,Mostly guidance,"I want the final say on what gets recorded, but I'm open to AI suggestions",-1.0,1.0,1.0,1.0,"Encouragement and validation,Objective advice and strategies,Insightful questions for deeper reflection,A combination depending on my needs at the moment",,Moderately Helpful,Somewhat helpful,2.0,1.0,1.0,Collaborate with AI to set goals together,1.0,2.0,Reminder & notification ,,"Practicing self-compassion during difficult times,Managing emotions and reducing stress,Strengthening resilience and adaptability in challenging situations,Cultivating gratitude and a more positive mindset,Clarifying my sense of purpose and motivation",,"Feedback while writing journal,Daily insight/summary (once a day),Weekly insight/summary (once a week),Monthly insight/summary",Deeper reflective questions,"Journaling is meaningful to me in helping to manage my grief, and anger at my husband's passing. I tend to spew, having AI point out repeated issues might help gain insight. Having help reframing might help. ",that aha moment when I see a patten of thought or behavior that is not serving me. ,"no, it made me think more about my journaling, and wonder if there is such a tool now",South,High,Neutral
2025-04-30 7:39:39,2025-04-30 7:48:42,100,543,TRUE,2025-04-30 7:48:42,R_114Buj7j6yHmbW2,25-34,Male,Unemployed and looking for work,,"Peyton, Colorado",nan,1,No,,,Self-reflection is the ability to recognize your actions.,I'm thinking about starting but haven't yet,Contemplation,Less than 1 month,A few times a month,,,,Pen and paper,,,"I rely on memory/don’t take notes,I write things down on paper, when available",,-1.0,When I have free time,,"Within the past week,Within the past month","Revisit memories and past experiences,Identify recurring patterns in behavior or thoughts (e.g., events that repeatedly cause distress),Gain a fresh perspective on past emotions and situations,Reflect on personal growth over time",,"Finding time,Knowing what to write,Staying motivated/consistent,Privacy concerns",,1.0,Frustration mostly,"To record daily events and memories,To organize my thoughts or clear my mind,To express emotions or relieve stress,To set goals or track progress,To brainstorm ideas or spark creativity,To reflect on personal growth",,1.0,1.0,1.0,Free-form writing,,"Free, open writing",1.0,1.0,1.0,Somewhat Comfortable,A few times a week,"Spelling/Grammar/Writing help,Problem Solving/Homework help,Idea generation,Image generation,Emotional support,General advice",," Spelling/grammar help,Emotion/mood tracking,Showing relevant past entries during writing,Providing insights or recurring patterns from your entries,Goal/habit tracking and nudging,Daily writing prompt suggestions,Daily personalized positive affirmations or famous quotes",,-1.0,1.0,0.0,0.0,0.0,0.0,Neither agree or disagree,"Deeply personal topics (e.g., trauma, relationships, private memories) ,Entries related to mental health (e.g., depression, anxiety),Entries involving other people (e.g., friends, family, coworkers)",,"Privacy (e.g., strict privacy policy),Transparency (e.g., clear references or citations for AI-generated suggestions or insights)",, Allow me to easily correct the AI,-1.0,I prefer frequent reminders that I am interacting with AI,1.0,Some – I’m willing to consider AI perspectives alongside my own,0.0,0.0,1.0,Neither (no AI guidance),Only suggest ideas when I ask, Offer a structured prompt to guide your writing,,Some freedom,No preference,Some freedom,No preference,Some freedom,"I want the final say on what gets recorded, but I'm open to AI suggestions",0.0,1.0,1.0,1.0,"Encouragement and validation,Objective advice and strategies,Soothing, empathetic words",,Moderately Helpful,Moderately Helpful,1.0,1.0,0.0,Set your own goals,1.0,0.0,"Reminder & notification ,Encouraging feedback once journaling is completed",,"Building confidence and a stronger sense of self-worth,Practicing self-compassion during difficult times,Managing emotions and reducing stress",,"Weekly insight/summary (once a week),Monthly insight/summary",Depends on my mood,Journaling is a meaningful way to document issues in life. AI implementation could help better structure and organize this.,The ability to write in a perspective one might have outside of writing.,,West,Low,Uncomfortable
2025-04-30 7:39:59,2025-04-30 7:49:03,100,543,TRUE,2025-04-30 7:49:03,R_5tK3X4R1w77ClXj,18-24,Male,Student (full-time or part-time),,"West New York, NJ",ENFJ,1,No,,,Thinking about things that relate to oneself.,I've never journaled and don't plan to start,Precontemplation,Less than 1 month,I do not journal at this time,,,,"Standard digital app or document (e.g., Google Docs, Notes)",,,"I rely on memory/don’t take notes,I write things down on paper, when available,I use a notes app on my phone,I take photos to help me remember",,1.0,When I have free time,,I do not usually reflect on past experiences when journaling,,,Staying motivated/consistent,,-1.0,No.,"To record daily events and memories,To organize my thoughts or clear my mind,To express emotions or relieve stress",,1.0,1.0,1.0,Free-form writing,,"Free, open writing",1.0,1.0,1.0,Somewhat Comfortable,Multiple times a day,"Idea generation,General advice",,"Showing relevant past entries during writing,Providing insights or recurring patterns from your entries,Goal/habit tracking and nudging",,1.0,1.0,1.0,1.0,1.0,1.0,Somewhat Agree,"I’m comfortable with AI analyzing all my content, if secure",,"Privacy (e.g., strict privacy policy),Transparency (e.g., clear references or citations for AI-generated suggestions or insights),Explainability (e.g., step-by-step reasoning of how AI generated insights),Reputation (e.g., strong reviews or credible endorsements),Expert validation (e.g., tested or reviewed by mental health professionals or relevant experts),Open-source or verifiable technology",, Allow me to easily correct the AI,1.0,I don't mind whether I’m reminded or not,1.0,Moderate – I would often reflect on AI’s interpretations to better understand myself,1.0,1.0,1.0,Somewhat prefer adaptive guidance,"Gently suggest prompts to guide me,Generate journal entries based on my chats with AI,Analyze my entries and suggest improvements,Actively coach me toward personal goals","Ask how you’re feeling first, then offer guidance based on your response",,Some freedom,Some freedom,Some freedom,Some freedom,Some freedom,I want a balanced mix of my input and AI-generated suggestions,1.0,1.0,1.0,1.0,"Encouragement and validation,Objective advice and strategies,Insightful questions for deeper reflection",,Very helpful,Very helpful,1.0,1.0,0.0,Receive suggested goals from AI,1.0,1.0,"Reminder & notification ,Daily streak tracking or rewards,Encouraging feedback once journaling is completed,Setting a dedicated journaling time,Connecting to Journaling community or sharing with friend",,"Building confidence and a stronger sense of self-worth,Practicing self-compassion during difficult times,Managing emotions and reducing stress,Strengthening resilience and adaptability in challenging situations,Cultivating gratitude and a more positive mindset,Clarifying my sense of purpose and motivation,Becoming more present and mindful in daily life,Reflecting on my values and making thoughtful decisions",,Daily insight/summary (once a day),Depends on my mood,Exploring more about myself and delving into deeper inquiry. AI could guide me toward thinking deeper about things.,Discovering patterns that I missed or haven't noticed. AI should tell me when my thinking needs adjustment or when I need to see the bigger picture.,No.,Northeast,High,Comfortable
2025-04-30 7:39:33,2025-04-30 7:49:57,100,624,TRUE,2025-04-30 7:49:58,R_6JPV585JAa1emua,45-54,Female,Unemployed and not looking for work,,"Flat Rock, MI ",nan,1,No,,,Exploring your true self in depth,I've never journaled and don't plan to start,Precontemplation,Less than 1 month,I do not journal at this time,,,,Pen and paper,,,"I write things down on paper, when available",,-2.0,When I have free time,,I do not usually reflect on past experiences when journaling,,,"Doubting its value (e.g., feeling like I won’t grow from it, or that I won't be doing it “right”",,-1.0,I do not journal. I tried it for a short time and found it to be more of a chore than anything.,To set goals or track progress,,-1.0,1.0,1.0,Free-form writing,,"Free, open writing",1.0,1.0,0.0,Somewhat Comfortable,Multiple times a day,"Spelling/Grammar/Writing help,Other (please specify)",content creation," Spelling/grammar help,Showing relevant past entries during writing,Goal/habit tracking and nudging,Daily writing prompt suggestions,Daily personalized positive affirmations or famous quotes",,-2.0,1.0,2.0,1.0,2.0,2.0,Neither agree or disagree,"I’m comfortable with AI analyzing all my content, if secure",,"Privacy (e.g., strict privacy policy),Transparency (e.g., clear references or citations for AI-generated suggestions or insights),Open-source or verifiable technology",,It doesn’t matter to me,1.0,I prefer not to be reminded that I’m interacting with AI,1.0,Moderate – I would often reflect on AI’s interpretations to better understand myself,0.0,1.0,1.0,Neither (no AI guidance),Only suggest ideas when I ask,Offer a blank page so you can write freely,,Mostly freedom,Some guidance,Mostly freedom,Mostly guidance,Some guidance,"I want full control over what gets recorded, with no AI suggestions",2.0,1.0,0.0,2.0,A combination depending on my needs at the moment,,Moderately Helpful,Very helpful,2.0,1.0,2.0,Collaborate with AI to set goals together,0.0,1.0,Features will not help/not need for creating journaling habit,,,,I don't want feedback from the AI,Depends on my mood,I dont find journanling meaningful. I feel as if it is more than a chore than anything else.,AI could assist in interripting my feelings if i did participate in journaling.,,Midwest,Low,Comfortable
2025-04-30 7:39:49,2025-04-30 7:51:56,100,727,TRUE,2025-04-30 7:51:57,R_144FW4www9D8KZ3,25-34,Male,Employed full-time,,"Murfreesboro, TN",nan,2,Yes (optional: explain in textbox),depression,moderate,"To me, self-reflection is taking the time to look inward and search for understanding of one's personality and actions.",I'm thinking about starting but haven't yet,Contemplation,Never,,No,,4,,,,,,,,,,"Identify recurring patterns in behavior or thoughts (e.g., events that repeatedly cause distress),Reflect on personal growth over time,Better understand my strengths and weaknesses",,,,,,"To organize my thoughts or clear my mind,To reflect on personal growth",,1.0,2.0,2.0,Free-form writing,,Light reflective prompts,-2.0,-2.0,-1.0,Extremely comfortable,A couple times a month,"General advice,Other (please specify)",Research assistance,"Showing relevant past entries during writing,Providing insights or recurring patterns from your entries,Daily writing prompt suggestions",,-1.0,1.0,1.0,2.0,2.0,0.0,Strongly disagree,"Sensitive identifying information (e.g., names, addresses, workplaces),Entries involving other people (e.g., friends, family, coworkers)",,"Privacy (e.g., strict privacy policy),Transparency (e.g., clear references or citations for AI-generated suggestions or insights)",, Allow me to easily correct the AI,-1.0,I prefer frequent reminders that I am interacting with AI,2.0,Some – I’m willing to consider AI perspectives alongside my own,1.0,2.0,1.0,Strongly prefer adaptive guidance,Gently suggest prompts to guide me,Offer a blank page so you can write freely,,Some guidance,No preference,Mostly freedom,Mostly freedom,Some guidance,"I want full control over what gets recorded, with no AI suggestions",2.0,-1.0,1.0,2.0,"Objective advice and strategies,Insightful questions for deeper reflection",,Extremely helpful,Somewhat helpful,2.0,2.0,2.0,Set your own goals,1.0,-1.0,Reminder & notification ,,"Managing emotions and reducing stress,Clarifying my sense of purpose and motivation,Reflecting on my values and making thoughtful decisions",,Daily insight/summary (once a day),Depends on my mood,Journaling would be a good way to facilitate self-assessment and personal growth by putting my thoughts down in writing and being able to more easily track my thought processes. AI could be helpful in discerning my thought patterns and tendencies.,"It means to discover insights into the way my mind works and better understand why I am the way that I am. AI should provide potential explanations when prompted and acknowledge tendencies, but not make concrete observations and determinations for me.",No,South,Unknown,Uncomfortable
2025-04-30 7:39:31,2025-04-30 8:00:33,100,1262,TRUE,2025-04-30 8:00:34,R_1e3hqkbOW8Sb3xd,45-54,Female,Employed full-time,,"Dallas, TX",nan,1,No,,,Self reflection is when a person stops to think about the emotions they are feeling and their perception of their place in the world,I've started journaling recently and want to build a habit,Preparation,6 Months to 2 Years,Several times a week,,,,"Pen and paper,Standard digital app or document (e.g., Google Docs, Notes)",,,"I rely on memory/don’t take notes,I write things down on paper, when available,I use a notes app on my phone,I take photos to help me remember",,1.0,"When I have free time,At the beginning of the day (e.g., as a morning routine),During or after an emotional experience or crisis,When a significant life event occurs (e.g., graduation, breakup, promotion)",,Within the past month,"Revisit memories and past experiences,Identify recurring patterns in behavior or thoughts (e.g., events that repeatedly cause distress),Gain a fresh perspective on past emotions and situations,Reflect on personal growth over time,Better understand my strengths and weaknesses",,"Knowing what to write,Staying motivated/consistent,Difficulty reflecting (eg. putting my emotions into words)",,0.0,"When I have had fights or issues with my family or boyfriend, I will sometimes skip journaling that event or emotion so I don’t have to remember it","To record daily events and memories,To organize my thoughts or clear my mind,To express emotions or relieve stress,To brainstorm ideas or spark creativity,To reflect on personal growth",,2.0,1.0,1.0,"Free-form writing,Bullet journaling style (lists, tasks),Structured templates (mood tracker, gratitude list),Visual/Emoji journaling,Mood-based layouts,Photo-based journaling",,A mix depending on my mood,1.0,1.0,2.0,Neither comfortable or uncomfortable,A couple times a month,Spelling/Grammar/Writing help,," Spelling/grammar help,Goal/habit tracking and nudging,Daily personalized positive affirmations or famous quotes",,2.0,2.0,2.0,2.0,2.0,1.0,Neither agree or disagree,"I’m comfortable with AI analyzing all my content, if secure",,"Privacy (e.g., strict privacy policy),Transparency (e.g., clear references or citations for AI-generated suggestions or insights),Expert validation (e.g., tested or reviewed by mental health professionals or relevant experts)",, Allow me to easily correct the AI,2.0,I prefer frequent reminders that I am interacting with AI,0.0,Some – I’m willing to consider AI perspectives alongside my own,2.0,2.0,2.0,Strongly prefer adaptive guidance,Only suggest ideas when I ask,Offer a blank page so you can write freely,,Mostly freedom,Mostly freedom,Mostly freedom,Mostly freedom,Mostly freedom,"I want full control over what gets recorded, with no AI suggestions",2.0,2.0,1.0,-2.0,"Encouragement and validation,Soothing, empathetic words",,Extremely helpful,Not helpful at all,2.0,2.0,2.0,Set your own goals,2.0,0.0,"Encouraging feedback once journaling is completed,Setting a dedicated journaling time",,"Practicing self-compassion during difficult times,Managing emotions and reducing stress,Strengthening resilience and adaptability in challenging situations,Cultivating gratitude and a more positive mindset,Becoming more present and mindful in daily life",,"Feedback instantly after I complete a journal entry,Daily insight/summary (once a day)",Quick emotional summary,"Journaling can not only help process your emotions and thoughts, but it can help create a sense of self worth, purpose and self love. It can also show us how we treat people and how we can make interactions with them better","People can feel lost or disconnected in everyday life. Journaling can help us stay in touch with what is important to us and how to achieve the things we wish to do in life. This can bring joy and purpose, so that life feels worth living ",This was one of the most interesting and well done surveys I have ever done. It definitely made me want to rededicate my passion for journaling,South,High,Comfortable
2025-04-30 7:41:54,2025-04-30 8:00:50,100,1135,TRUE,2025-04-30 8:00:50,R_6nNFOFd470TfIT6,45-54,Male,Employed full-time,,"kelso, wa",nan,1,Prefer not to say,,,"looking at my personality from a non-biased perspective, being honest to myself",I've started journaling recently and want to build a habit,Preparation,6 Months to 2 Years,Once a week,,,,Pen and paper,,,"I write things down on paper, when available",,0.0,"During or after an emotional experience or crisis,When I feel inspired or creative",,Within the past day,"Identify recurring patterns in behavior or thoughts (e.g., events that repeatedly cause distress),Reflect on personal growth over time,Revisit past ideas or notes for creative inspiration",,"Knowing what to write,Staying motivated/consistent",,0.0,no,"To set goals or track progress,To brainstorm ideas or spark creativity,To reflect on personal growth",,1.0,0.0,1.0,"Free-form writing,Bullet journaling style (lists, tasks),Mind map/branching thoughts,Voice-to-text journaling",,Structured deep reflection,1.0,1.0,1.0,Neither comfortable or uncomfortable,A few times a week,"Spelling/Grammar/Writing help,Problem Solving/Homework help,General advice",,"Emotion/mood tracking,Showing relevant past entries during writing,Providing insights or recurring patterns from your entries,Goal/habit tracking and nudging,Real-time writing suggestions (expand, clarify)",,1.0,2.0,1.0,1.0,2.0,2.0,Somewhat Agree,"Entries related to mental health (e.g., depression, anxiety)",,"Privacy (e.g., strict privacy policy),Explainability (e.g., step-by-step reasoning of how AI generated insights)",, Allow me to easily correct the AI,0.0,I prefer occasional reminders that I am interacting with AI,1.0,Some – I’m willing to consider AI perspectives alongside my own,1.0,1.0,2.0,Somewhat prefer adaptive guidance,Analyze my entries and suggest improvements,"Ask how you’re feeling first, then offer guidance based on your response",,Some guidance,Some guidance,Some freedom,Mostly freedom,Some guidance,"I want the final say on what gets recorded, but I'm open to AI suggestions",1.0,1.0,1.0,1.0,"Insightful questions for deeper reflection,A combination depending on my needs at the moment",,Very helpful,Very helpful,1.0,1.0,0.0,Collaborate with AI to set goals together,1.0,1.0,"Reminder & notification ,Encouraging feedback once journaling is completed,Setting a dedicated journaling time",,"Building confidence and a stronger sense of self-worth,Practicing self-compassion during difficult times,Strengthening resilience and adaptability in challenging situations,Cultivating gratitude and a more positive mindset,Reflecting on my values and making thoughtful decisions",,"Feedback instantly after I complete a journal entry,Daily insight/summary (once a day),Only when I ask for it",Depends on my mood,"it crystalizes thoughts, clarifies patterns",having something come up from my subconscious. AI could observe patterns and point them out.,none,West,Neutral,Neutral
